,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
68,"Carson City, NV Metro Area",8905,1094,642,439,1790,1127,67465,16180,3965,1790,44.53,20.1,"Carson City, NV",NV,High (40-49%),16180.0,1108.0
69,"Casper, WY Metro Area",8958,565,607,938,1709,945,69104,16220,3819,1709,42.63,19.08,"Casper, WY",WY,High (40-49%),16220.0,856.0
70,"Cedar Rapids, IA Metro Area",27608,2116,1567,2067,5232,863,75477,16300,10982,5232,39.78,18.95,"Cedar Rapids, IA",IA,Moderate (30-39%),16300.0,814.0
71,"Chambersburg-Waynesboro, PA Metro Area",16945,1548,984,1153,2916,1019,71808,16540,6601,2916,38.96,17.21,"Chambersburg-Waynesboro, PA",PA,Moderate (30-39%),16540.0,939.0
72,"Champaign-Urbana, IL Metro Area",39445,2696,2072,2999,10499,975,62281,16580,18266,10499,46.31,26.62,"Champaign-Urbana, IL",IL,High (40-49%),16580.0,977.0
73,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,833.0
74,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,710.0
75,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,705.0
76,"Charleston-North Charleston, SC Metro Area",100827,8107,6848,9630,23943,1402,77460,16700,48528,23943,48.13,23.75,"Charleston-North Charleston, SC",SC,High (40-49%),16700.0,1372.0
77,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,805.0
78,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,1155.0
79,"Charlottesville, VA Metro Area",29814,2452,1775,2275,6993,1445,86188,16820,13495,6993,45.26,23.46,"Charlottesville, VA",VA,High (40-49%),16820.0,1264.0
80,"Chattanooga, TN-GA Metro Area",71328,5182,4760,5641,13818,1000,65387,16860,29401,13818,41.22,19.37,"Chattanooga, TN-GA",TN,High (40-49%),16860.0,883.0
81,"Cheyenne, WY Metro Area",11515,1201,720,1068,1955,1043,76282,16940,4944,1955,42.94,16.98,"Cheyenne, WY",WY,High (40-49%),16940.0,890.0
