cbsa_num,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
29340.0,"Lake Charles, LA MSA",660,688,884,1107,1241
20260.0,"Lake County, MN HUD Metro FMR Area",611,680,826,1116,1120
29420.0,"Lake Havasu City-Kingman, AZ MSA",667,766,969,1364,1539
29460.0,"Lakeland-Winter Haven, FL MSA",830,836,1056,1418,1807
29540.0,"Lancaster, PA MSA",783,913,1148,1450,1557
29620.0,"Lansing-East Lansing, MI HUD Metro FMR Area",733,767,936,1203,1269
29700.0,"Laredo, TX MSA",756,760,942,1222,1349
29740.0,"Las Cruces, NM MSA",635,649,787,1118,1315
29940.0,"Lawrence, KS MSA",702,753,937,1331,1565
14460.0,"Lawrence, MA-NH HUD Metro FMR Area",1040,1219,1565,1935,2122
30020.0,"Lawton, OK HUD Metro FMR Area",590,594,771,1095,1320
30140.0,"Lebanon, PA MSA",737,759,989,1270,1341
23540.0,"Levy County, FL HUD Metro FMR Area",572,575,757,1021,1136
30300.0,"Lewiston, ID-WA MSA",615,717,925,1314,1583
30340.0,"Lewiston-Auburn, ME MSA",717,781,999,1297,1530
30460.0,"Lexington-Fayette, KY MSA",632,741,912,1256,1496
30620.0,"Lima, OH MSA",567,622,767,999,1120
48140.0,"Lincoln County, WI HUD Metro FMR Area",503,584,757,1055,1138
16620.0,"Lincoln County, WV HUD Metro FMR Area",503,591,705,871,956
30700.0,"Lincoln, NE HUD Metro FMR Area",624,689,888,1237,1440
30780.0,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",706,728,833,1118,1330
19820.0,"Livingston County, MI HUD Metro FMR Area",747,938,1125,1504,1664
30860.0,"Logan, UT-ID MSA",583,699,877,1246,1501
30980.0,"Longview, TX HUD Metro FMR Area",687,786,924,1276,1467
31020.0,"Longview, WA MSA",707,808,1055,1499,1806
31080.0,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1384,1604,2044,2693,2933
31140.0,"Louisville, KY-IN HUD Metro FMR Area",690,800,960,1279,1468
14460.0,"Lowell, MA HUD Metro FMR Area",1237,1359,1773,2192,2404
31180.0,"Lubbock, TX HUD Metro FMR Area",670,773,951,1348,1618
31340.0,"Lynchburg, VA MSA",742,743,863,1164,1322
31420.0,"Macon-Bibb County, GA HUD Metro FMR Area",600,739,846,1071,1147
31460.0,"Madera, CA MSA",913,919,1198,1702,1870
47900.0,"Madison County, VA HUD Metro FMR Area",723,727,957,1183,1450
31540.0,"Madison, WI HUD Metro FMR Area",929,1076,1254,1676,1948
31700.0,"Manchester, NH HUD Metro FMR Area",972,1105,1413,1747,1932
31740.0,"Manhattan, KS HUD Metro FMR Area",723,728,907,1190,1552
31860.0,"Mankato-North Mankato, MN MSA",710,776,992,1378,1698
31900.0,"Mansfield, OH MSA",497,563,738,994,1157
25180.0,"Martinsburg, WV HUD Metro FMR Area",783,788,991,1301,1696
32580.0,"McAllen-Edinburg-Mission, TX MSA",633,637,817,1062,1176
32780.0,"Medford, OR MSA",825,908,1195,1697,2045
32820.0,"Memphis, TN-MS-AR HUD Metro FMR Area",694,792,912,1219,1404
32900.0,"Merced, CA MSA",766,914,1120,1591,1917
33100.0,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1162,1332,1672,2220,2631
33140.0,"Michigan City-La Porte, IN MSA",535,629,794,1047,1139
35620.0,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",1275,1455,1851,2288,2547
33220.0,"Midland, MI MSA",582,661,870,1210,1341
33260.0,"Midland, TX HUD Metro FMR Area",1158,1165,1433,1771,2453
35300.0,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",967,1224,1456,1800,2492
33340.0,"Milwaukee-Waukesha-West Allis, WI MSA",687,827,999,1269,1384
33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",932,1078,1329,1841,2145
33540.0,"Missoula, MT MSA",717,813,1020,1440,1746
33660.0,"Mobile, AL HUD Metro FMR Area",662,690,861,1148,1244
33700.0,"Modesto, CA MSA",936,1001,1250,1761,2063
35620.0,"Monmouth-Ocean, NJ HUD Metro FMR Area",1092,1230,1558,2142,2374
33740.0,"Monroe, LA HUD Metro FMR Area",615,619,815,1011,1115
33780.0,"Monroe, MI MSA",631,723,941,1237,1503
33860.0,"Montgomery, AL MSA",643,764,914,1156,1494
33740.0,"Morehouse Parish, LA HUD Metro FMR Area",584,588,696,921,1191
25180.0,"Morgan County, WV HUD Metro FMR Area",572,689,785,1061,1065
34060.0,"Morgantown, WV MSA",725,729,892,1205,1527
34100.0,"Morristown, TN HUD Metro FMR Area",577,581,763,1054,1128
34580.0,"Mount Vernon-Anacortes, WA MSA",868,1035,1307,1857,2176
